iter	Passed	Remaining
405	6552	9586
406	6566	9566
407	6580	9548
408	6598	9534
409	6616	9521
410	6630	9502
411	6647	9486
412	6662	9468
413	6678	9452
414	6694	9437
415	6710	9420
416	6728	9407
417	6743	9389
418	6762	9376
419	6777	9359
420	6794	9344
421	6812	9330
422	6827	9313
423	6843	9297
424	6861	9283
425	6877	9266
426	6890	9247
427	6908	9232
428	6923	9215
429	6939	9199
430	6957	9185
431	6970	9165
432	6986	9148
433	7018	9153
434	7037	9140
435	7052	9122
436	7067	9105
437	7085	9091
438	7100	9073
439	7118	9059
440	7134	9043
441	7150	9027
442	7168	9013
443	7183	8995
444	7201	8981
445	7218	8966
446	7237	8953
447	7252	8935
448	7270	8922
449	7286	8905
450	7302	8889
451	7317	8871
452	7330	8851
453	7344	8833
454	7362	8819
455	7376	8800
456	7393	8784
457	7408	8767
458	7426	8752
459	7444	8739
460	7459	8721
461	7473	8703
462	7490	8687
463	7508	8673
464	7523	8656
465	7540	8641
466	7556	8624
467	7571	8607
468	7589	8593
469	7606	8577
470	7619	8558
471	7634	8540
472	7650	8524
473	7667	8509
474	7682	8491
475	7700	8476
476	7716	8460
477	7731	8443
478	7749	8429
479	7765	8412
480	7780	8395
481	7794	8376
482	7810	8360
483	7833	8351
484	7859	8345
485	7882	8336
486	7908	8330
487	7931	8322
488	7958	8316
489	7980	8305
490	8002	8296
491	8060	8322
492	8081	8310
493	8102	8299
494	8117	8281
495	8135	8266
496	8151	8249
497	8166	8232
498	8182	8215
499	8197	8197
500	8216	8183
501	8234	8169
502	8248	8149
503	8264	8133
504	8283	8119
505	8299	8102
506	8313	8083
507	8328	8065
508	8342	8047
509	8360	8032
510	8374	8014
511	8390	7997
512	8402	7976
513	8415	7956
514	8431	7940
515	8450	7926
516	8465	7908
517	8479	7890
518	8492	7870
519	8511	7857
520	8528	7841
521	8551	7830
522	8570	7816
523	8585	7798
524	8600	7781
525	8614	7763
526	8630	7746
527	8647	7730
528	8663	7713
529	8679	7696
530	8696	7681
531	8713	7665
532	8738	7656
533	8767	7651
534	8798	7647
535	8840	7652
536	8873	7650
537	8906	7648
538	8937	7644
539	8969	7641
540	9007	7642
541	9061	7657
542	9104	7662
543	9134	7657
544	9174	7659
545	9213	7661
546	9246	7657
547	9276	7651
548	9312	7650
549	9349	7649
550	9382	7645
