iter	Passed	Remaining
400	21304	31824
401	21364	31781
402	21413	31721
403	21503	31723
404	21556	31668
405	21608	31614
406	21660	31559
407	21710	31501
408	21764	31448
409	21817	31396
410	21873	31347
411	21927	31294
412	21979	31239
413	22031	31184
414	22085	31132
415	22139	31079
416	22191	31025
417	22241	30967
418	22292	30911
419	22344	30856
420	22399	30805
421	22453	30753
422	22588	30812
423	22659	30783
424	22710	30726
425	22760	30667
426	22809	30607
427	22870	30565
428	22928	30518
429	22983	30466
430	23032	30407
431	23090	30359
432	23147	30311
433	23195	30250
434	23250	30199
435	23307	30150
436	23366	30103
437	23426	30058
438	23484	30011
439	23541	29962
440	23645	29972
441	23711	29934
442	23766	29882
443	23816	29824
444	23867	29767
445	23924	29717
446	23976	29662
447	24032	29611
448	24081	29551
449	24139	29503
450	24206	29466
451	24280	29437
452	24335	29385
453	24401	29346
454	24456	29293
455	24507	29236
456	24562	29184
457	24613	29127
458	24706	29120
459	24761	29067
460	24812	29010
461	24866	28956
462	24920	28903
463	24978	28854
464	25036	28805
465	25089	28750
466	25143	28697
467	25202	28649
468	25259	28598
469	25312	28543
470	25371	28495
471	25471	28494
472	25543	28459
473	25600	28409
474	25661	28362
475	25755	28352
476	25803	28292
477	25858	28239
478	25916	28188
479	25973	28137
480	26028	28084
481	26086	28034
482	26144	27985
483	26209	27941
484	26269	27894
485	26331	27848
486	26409	27819
487	26466	27767
488	26519	27712
489	26573	27658
490	26631	27607
491	26679	27547
492	26784	27545
493	26833	27485
494	26889	27432
495	26941	27376
496	26995	27321
497	27049	27266
498	27103	27212
499	27160	27160
500	27215	27106
501	27274	27057
502	27328	27002
503	27389	26954
504	27445	26901
505	27503	26851
506	27570	26809
507	27647	26776
508	27728	26748
509	27846	26754
510	27906	26705
511	27963	26653
512	28020	26600
513	28078	26548
514	28129	26491
515	28207	26457
516	28261	26403
517	28317	26349
518	28371	26294
519	28426	26239
520	28480	26184
521	28542	26136
522	28604	26088
523	28676	26049
524	28784	26043
525	28935	26074
526	29013	26040
527	29085	26000
528	29145	25949
529	29211	25904
530	29279	25860
531	29342	25812
532	29403	25762
533	29458	25706
534	29509	25648
535	29561	25590
536	29612	25531
537	29669	25478
538	29727	25425
539	29780	25368
540	29832	25311
541	29888	25256
542	29993	25242
543	30053	25191
544	30115	25142
545	30173	25089
546	30222	25029
547	30283	24978
548	30338	24923
549	30418	24888
550	30531	24879
551	30610	24843
552	30665	24787
553	30719	24730
554	30773	24674
555	30832	24621
556	30890	24567
557	30942	24510
558	31048	24494
559	31103	24438
560	31158	24382
561	31213	24326
562	31265	24268
563	31336	24224
564	31411	24184
565	31484	24141
566	31555	24098
567	31622	24050
568	31679	23995
569	31740	23944
570	31799	23891
571	31864	23842
572	31922	23788
573	31976	23731
574	32128	23746
575	32211	23711
576	32282	23666
577	32333	23606
578	32388	23550
579	32441	23491
580	32493	23433
581	32548	23376
582	32602	23319
583	32653	23260
584	32708	23203
585	32760	23144
586	32810	23084
587	32867	23029
588	32922	22973
589	32975	22915
590	33027	22856
591	33083	22800
592	33191	22780
593	33249	22725
594	33304	22669
595	33360	22613
596	33434	22569
597	33503	22522
598	33559	22466
599	33608	22405
600	33658	22345
601	33708	22285
602	33762	22228
603	33815	22170
604	33870	22113
605	33924	22056
606	33983	22002
607	34032	21942
608	34087	21885
609	34140	21827
610	34257	21810
611	34306	21749
612	34353	21688
613	34406	21630
614	34460	21573
615	34521	21519
616	34575	21462
617	34626	21403
618	34679	21345
619	34729	21285
620	34781	21227
621	34834	21169
622	34886	21111
623	34938	21052
624	34990	20994
625	35048	20939
626	35098	20880
627	35153	20823
628	35207	20766
629	35323	20745
630	35377	20688
631	35431	20630
632	35483	20572
633	35534	20513
634	35595	20460
635	35646	20401
636	35700	20344
637	35754	20287
638	35805	20228
639	35854	20168
640	35905	20109
641	35963	20054
642	36016	19996
643	36073	19941
644	36127	19883
645	36180	19826
646	36236	19770
647	36299	19718
648	36402	19687
649	36462	19633
650	36516	19576
651	36571	19519
652	36624	19462
653	36683	19407
654	36737	19350
655	36790	19292
656	36843	19235
657	36896	19177
658	36953	19121
659	37004	19062
660	37056	19004
661	37110	18947
662	37169	18892
663	37225	18837
664	37276	18778
665	37328	18720
666	37448	18696
667	37505	18640
668	37557	18582
669	37611	18525
670	37667	18468
671	37722	18411
672	37774	18354
673	37826	18295
674	37881	18239
675	37933	18181
676	37990	18125
677	38047	18069
678	38102	18012
679	38155	17955
680	38209	17898
681	38261	17840
682	38314	17783
683	38371	17727
684	38427	17671
685	38537	17639
686	38589	17581
687	38638	17522
688	38695	17466
689	38754	17411
690	38805	17352
691	38861	17296
692	38917	17240
693	38975	17185
694	39031	17128
695	39086	17072
696	39139	17014
697	39193	16957
698	39254	16903
699	39318	16850
700	39376	16795
701	39425	16736
702	39478	16678
703	39645	16669
704	39706	16614
705	39760	16557
706	39819	16502
707	39877	16446
